abeja,f. Insecto himenóptero de unos quince milímetros de largo de color pardo negruzco y vello rojizo que vive en colonias y produce cera y miel
abrir,tr. Descubrir o hacer patente lo que está cerrado u oculto   U. t. c. prnl.
agua,f. Líquido transparente incoloro inodoro e insípido en estado puro cuyas moléculas están formadas por dos átomos de hidrógeno y uno de oxígeno y que constituye el componente más abundante de la superficie terrestre y el mayoritario de todos los organismos vivos Fórm. 2
amar,tr. Tener amor a alguien o algo
amor,m. Sentimiento intenso del ser humano que partiendo de su propia insuficiencia necesita y busca el encuentro y unión con otro ser
ancla,f. Instrumento de hierro formado por una barra de la que salen unos ganchos que unido a una cadena se lanza al fondo del agua para sujetar la embarcación U. t. en sent. fig.
araña,f. Arácnido con tráqueas en forma de bolsas comunicantes con el exterior con cefalotórax cuatro pares de patas y en la boca un par de uñas venenosas y otro de apéndices o palpos que en los machos sirven para la cópula En el extremo del abdomen tiene el ano y las hileras u órganos productores de la seda con la que tapiza su vivienda caza sus presas y se traslada de un lugar a otro
árbol,m. Planta de tallo leñoso y elevado que se ramifica a cierta altura del suelo
arder,intr. Sufrir la acción del fuego
arte,m. o f. Capacidad habilidad para hacer algo
azul,adj. Dicho de un color Semejante al del cielo sin nubes y el mar en un día soleado y que ocupa el quinto lugar en el espectro luminoso U. t. c. s. m.
babor,m. Lado izquierdo de una embarcación mirando de popa a proa y por ext., de un avión u otra aeronave
bala,f. Proyectil de forma esférica o cilíndrico ojival generalmente de plomo o hierro
bebé,m. Niño o niña recién nacido o de muy corta edad U. t. c. m. y f.
beca,f. Subvención para realizar estudios o investigaciones
beso,m. Acción y efecto de besar
bicho,m. coloq. Animal pequeño especialmente un insecto
bife,m. Arg., Chile, Par., Perú  bistec.
boa,f. Serpiente americana de hasta diez metros de longitud con la piel pintada de vistosos dibujos No es venenosa sino que mata a sus presas comprimiéndolas con los anillos de su cuerpo Hay varias especies unas arborícolas y otras de costumbres acuáticas Todas son vivíparas Era u. t. c. m.
búho,m. Ave rapaz nocturna indígena de de unos cm de altura de color mezclado de rojo y negro calzada de plumas con el pico corvo los ojos grandes y colocados en la parte anterior de la cabeza sobre la cual tiene unas plumas alzadas que parecen orejas
bula,f. Documento pontificio relativo a materia de fe o de interés general concesión de gracias o privilegios o asuntos judiciales o administrativos expedido por la Cancillería Apostólica y autorizado por el sello de su nombre u otro parecido estampado con tinta roja
bulbo,m. Yema gruesa por lo común subterránea cuyas hojas están cargadas con sustancias de reserva
bulón,m. Mec. Pieza cilíndrica que se utiliza como pasador o perno para unir dos elementos
caoba,f. Árbol de de la familia de las meliáceas que alcanza unos m de altura con tronco recto y grueso hojas compuestas flores pequeñas y blancas en panoja colgante y fruto capsular leñoso semejante a un huevo de pava cuya madera es muy estimada
cardo,m. Planta anual de la familia de las compuestas que alcanza un metro de altura de hojas grandes y espinosas como las de la alcachofa flores azules en cabezuela y pencas que se comen crudas o cocidas después de aporcada la planta para que resulten más blancas tiernas y sabrosas
casa,f. Edificio para habitar 
catar,tr. Probar gustar algo para examinar su sabor o sazón
cielo,m. Esfera aparente azul y diáfana que rodea la Tierra
cinco,adj. Cuatro más uno U. t. c. pron. —¿
cinta,f. Tira de tela u otro material de propiedades semejantes que sirve para atar ceñir o adornar
circo,m. Edificio o recinto cubierto por una carpa con gradería para los espectadores que tiene en medio una o varias pistas donde actúan malabaristas payasos equilibristas animales amaestrados etc.
cuis,m. Arg., Bol., Chile  conejillo de Indias mamífero roedor
cura,m. En la Iglesia católica sacerdote encargado en virtud del oficio que tiene del cuidado instrucción y doctrina espiritual de una feligresía
curda,adj. coloq. ebrio embriagado por la bebida U. t. c. s.
curso,m. Dirección o carrera
danza,f. baile acción de bailar
dedo,m. Cada uno de los cinco apéndices articulados en que terminan la mano y el pie del hombre y en el mismo o menor número de muchos animales
diez,adj. Nueve más uno U. t. c. pron. —¿
doble,adj. Dos veces mayor o que contiene una cantidad dos veces exactamente   U. t. c. s. m.
dogma,m. Proposición tenida por cierta y como principio innegable
dolor,m. Sensación molesta y aflictiva de una parte del cuerpo por causa interior o exterior
donde,adv. relat. En el que en el cual o en que U. con antecedente referido a lugares 
dos,adj. Uno más uno U. t. c. pron. —¿
duda,f. Suspensión o indeterminación del ánimo entre dos juicios o dos decisiones o bien acerca de un hecho o una noticia
enojo,m. Movimiento del ánimo que suscita ira contra alguien
error,m. Concepto equivocado o juicio falso
etapa,f. Trecho de camino de un recorrido determinado
fácil,adj. Que no requiere gran esfuerzo habilidad o capacidad   
falaz,adj. Embustero falso
fatal,adj. inevitable.
fémur,m. Hueso que forma el esqueleto del muslo que se articula por arriba con el hueso ilíaco y por abajo con la tibia y la rótula
feroz,adj. Dicho de un animal Fiero agresivo
fiar,tr. Dicho de una persona Asegurar que otra cumplirá lo que promete o pagará lo que debe obligándose en caso de que no lo haga a satisfacer por ella
fibra,f. Cada uno de los filamentos que entran en la composición de los tejidos orgánicos vegetales o animales
final,adj. Que termina o cierra  
firme,adj. Estable fuerte que no se mueve ni vacila
flan,m. Dulce que se hace con yemas de huevo leche y azúcar y se cuaja en el baño de dentro de un molde generalmente bañado de azúcar tostada Suele llevar también harina y con frecuencia se le añade algún otro ingrediente como café naranja vainilla etc.
flota,f. Conjunto de barcos mercantes de un país de una compañía de navegación o de una línea marítima
foca,f. Nombre común de varios mamíferos pinnípedos propios de mares fríos y de peso y talla variables según las especies Son de costumbres acuáticas por lo que sus extremidades tienen forma de aleta y se acercan a la costa para criar
fosa,f. Enterramiento sepulcro
frase,f. Conjunto de palabras que constituyen un enunciado
freír,tr. Hacer que un alimento crudo llegue a estar en disposición de poderse comer teniéndolo el tiempo necesario en aceite o grasa hirviendo U. t. c. intr. y c. prnl.
gaita,f. Instrumento musical de viento parecido a una flauta o chirimía de unos cm de largo
gajo,m. Cada una de las partes en que está naturalmente dividido el interior de algunos frutos como la naranja el limón la granada etc.
galán,adj. galano.
gasto,m. Acción de gastar
